index,cols,vals,Metric,method
cicero,distance_pca,0.023855561458928826,distance_pca,cicero
cicero,distance_tsne,0.06624285876750946,distance_tsne,cicero
cicero,distance_umap,0.19802726805210114,distance_umap,cicero
cicero,hc_ari,0.3607688943972125,hc_ari,cicero
cicero,hc_ami,0.5619588144716484,hc_ami,cicero
cicero,hc_homogeneity,0.5672576433711417,hc_homogeneity,cicero
cicero,kmeans_ari,0.3837589571442876,kmeans_ari,cicero
cicero,kmeans_ami,0.5839049357566942,kmeans_ami,cicero
cicero,kmeans_homogeneity,0.6147027140114706,kmeans_homogeneity,cicero
cicero,louvain_ari,0.43157370042870835,louvain_ari,cicero
cicero,louvain_ami,0.6461250849106351,louvain_ami,cicero
cicero,louvain_homogeneity,0.6713835282871655,louvain_homogeneity,cicero
