index,cols,vals,Metric,method
0.6,distance_pca,0.030336591167099306,distance_pca,scopen_threshold
0.6,distance_tsne,-0.11990614980459213,distance_tsne,scopen_threshold
0.6,distance_umap,-0.038221634924411774,distance_umap,scopen_threshold
0.6,hc_ari,0.31844878366015783,hc_ari,scopen_threshold
0.6,hc_ami,0.6096156432702685,hc_ami,scopen_threshold
0.6,hc_homogeneity,0.6498719342156237,hc_homogeneity,scopen_threshold
0.6,kmeans_ari,0.3210613208260646,kmeans_ari,scopen_threshold
0.6,kmeans_ami,0.6018473129650705,kmeans_ami,scopen_threshold
0.6,kmeans_homogeneity,0.642307870186659,kmeans_homogeneity,scopen_threshold
0.6,louvain_ari,0.35883069616417085,louvain_ari,scopen_threshold
0.6,louvain_ami,0.674752959263462,louvain_ami,scopen_threshold
0.6,louvain_homogeneity,0.720261302966174,louvain_homogeneity,scopen_threshold
