index,cols,vals,Metric,method
0.4,distance_pca,0.11720948130511326,distance_pca,scopen_threshold
0.4,distance_tsne,0.1437530517578125,distance_tsne,scopen_threshold
0.4,distance_umap,0.16025513410568237,distance_umap,scopen_threshold
0.4,hc_ari,0.5139179641874684,hc_ari,scopen_threshold
0.4,hc_ami,0.6749580195487591,hc_ami,scopen_threshold
0.4,hc_homogeneity,0.6986680207004138,hc_homogeneity,scopen_threshold
0.4,kmeans_ari,0.4883677539979234,kmeans_ari,scopen_threshold
0.4,kmeans_ami,0.6571100021797589,kmeans_ami,scopen_threshold
0.4,kmeans_homogeneity,0.67887307050908,kmeans_homogeneity,scopen_threshold
0.4,louvain_ari,0.6246095144316071,louvain_ari,scopen_threshold
0.4,louvain_ami,0.7364164701128879,louvain_ami,scopen_threshold
0.4,louvain_homogeneity,0.7406846203259363,louvain_homogeneity,scopen_threshold
